1,Latest Block Details,eth_getBlockByNumber,"{""id"":1,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
2,Vitalik's TX Count,eth_getTransactionCount,"{""id"":2,""jsonrpc"":""2.0"",""method"":""eth_getTransactionCount"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
3,WETH Balance Check,eth_call,"{""id"":3,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
4,Latest Block Details,eth_getBlockByNumber,"{""id"":4,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
5,Current Block,eth_blockNumber,"{""id"":5,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
6,Vitalik's Balance,eth_getBalance,"{""id"":6,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
7,Vitalik's Balance,eth_getBalance,"{""id"":7,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
8,Vitalik's Balance,eth_getBalance,"{""id"":8,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
9,WETH Balance Check,eth_call,"{""id"":9,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
10,Vitalik's Balance,eth_getBalance,"{""id"":10,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
11,Vitalik's Balance,eth_getBalance,"{""id"":11,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
12,WETH Balance Check,eth_call,"{""id"":12,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
13,WETH Balance Check,eth_call,"{""id"":13,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
14,WETH Balance Check,eth_call,"{""id"":14,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
15,WETH Balance Check,eth_call,"{""id"":15,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
16,Latest Block Details,eth_getBlockByNumber,"{""id"":16,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
17,Current Block,eth_blockNumber,"{""id"":17,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
18,WETH Balance Check,eth_call,"{""id"":18,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
19,Current Block,eth_blockNumber,"{""id"":19,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
20,WETH Balance Check,eth_call,"{""id"":20,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
21,Current Block,eth_blockNumber,"{""id"":21,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
22,Current Block,eth_blockNumber,"{""id"":22,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
23,WETH Balance Check,eth_call,"{""id"":23,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
24,Vitalik's Balance,eth_getBalance,"{""id"":24,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
25,Current Block,eth_blockNumber,"{""id"":25,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
26,Latest Block Details,eth_getBlockByNumber,"{""id"":26,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
27,WETH Balance Check,eth_call,"{""id"":27,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
28,WETH Balance Check,eth_call,"{""id"":28,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
29,Vitalik's TX Count,eth_getTransactionCount,"{""id"":29,""jsonrpc"":""2.0"",""method"":""eth_getTransactionCount"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
30,WETH Balance Check,eth_call,"{""id"":30,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
31,WETH Balance Check,eth_call,"{""id"":31,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
32,Vitalik's Balance,eth_getBalance,"{""id"":32,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
33,Current Block,eth_blockNumber,"{""id"":33,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
34,Vitalik's Balance,eth_getBalance,"{""id"":34,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
35,Latest Block Details,eth_getBlockByNumber,"{""id"":35,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
36,WETH Balance Check,eth_call,"{""id"":36,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
37,Vitalik's Balance,eth_getBalance,"{""id"":37,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
38,Vitalik's TX Count,eth_getTransactionCount,"{""id"":38,""jsonrpc"":""2.0"",""method"":""eth_getTransactionCount"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
39,Current Block,eth_blockNumber,"{""id"":39,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
40,Vitalik's TX Count,eth_getTransactionCount,"{""id"":40,""jsonrpc"":""2.0"",""method"":""eth_getTransactionCount"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
41,Vitalik's TX Count,eth_getTransactionCount,"{""id"":41,""jsonrpc"":""2.0"",""method"":""eth_getTransactionCount"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
42,Current Block,eth_blockNumber,"{""id"":42,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
43,WETH Balance Check,eth_call,"{""id"":43,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
44,Latest Block Details,eth_getBlockByNumber,"{""id"":44,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
45,WETH Balance Check,eth_call,"{""id"":45,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
46,Vitalik's TX Count,eth_getTransactionCount,"{""id"":46,""jsonrpc"":""2.0"",""method"":""eth_getTransactionCount"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
47,Latest Block Details,eth_getBlockByNumber,"{""id"":47,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
48,WETH Balance Check,eth_call,"{""id"":48,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
49,Current Block,eth_blockNumber,"{""id"":49,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
50,Vitalik's Balance,eth_getBalance,"{""id"":50,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
51,Current Block,eth_blockNumber,"{""id"":51,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
52,WETH Balance Check,eth_call,"{""id"":52,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
53,Latest Block Details,eth_getBlockByNumber,"{""id"":53,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
54,WETH Balance Check,eth_call,"{""id"":54,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
55,WETH Balance Check,eth_call,"{""id"":55,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
56,WETH Balance Check,eth_call,"{""id"":56,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
57,Current Block,eth_blockNumber,"{""id"":57,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
58,WETH Balance Check,eth_call,"{""id"":58,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
59,Latest Block Details,eth_getBlockByNumber,"{""id"":59,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
60,Current Block,eth_blockNumber,"{""id"":60,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
61,Vitalik's Balance,eth_getBalance,"{""id"":61,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
62,Vitalik's Balance,eth_getBalance,"{""id"":62,""jsonrpc"":""2.0"",""method"":""eth_getBalance"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
63,Latest Block Details,eth_getBlockByNumber,"{""id"":63,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
64,Vitalik's TX Count,eth_getTransactionCount,"{""id"":64,""jsonrpc"":""2.0"",""method"":""eth_getTransactionCount"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
65,Latest Block Details,eth_getBlockByNumber,"{""id"":65,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
66,Latest Block Details,eth_getBlockByNumber,"{""id"":66,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
67,Current Block,eth_blockNumber,"{""id"":67,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
68,Vitalik's TX Count,eth_getTransactionCount,"{""id"":68,""jsonrpc"":""2.0"",""method"":""eth_getTransactionCount"",""params"":[""0xd8dA6BF26964aF9D7eEd9e03E53415D37aA96045"",""latest""]}"
69,Current Block,eth_blockNumber,"{""id"":69,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
70,Current Block,eth_blockNumber,"{""id"":70,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
71,Current Block,eth_blockNumber,"{""id"":71,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
72,Current Block,eth_blockNumber,"{""id"":72,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
73,WETH Balance Check,eth_call,"{""id"":73,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
74,WETH Balance Check,eth_call,"{""id"":74,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
75,Current Block,eth_blockNumber,"{""id"":75,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
76,Current Block,eth_blockNumber,"{""id"":76,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
77,WETH Balance Check,eth_call,"{""id"":77,""jsonrpc"":""2.0"",""method"":""eth_call"",""params"":[{""data"":""0x70a08231000000000000000000000000000000000000000000000000000000000000000a"",""to"":""0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2""}]}"
78,Current Block,eth_blockNumber,"{""id"":78,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
79,Current Block,eth_blockNumber,"{""id"":79,""jsonrpc"":""2.0"",""method"":""eth_blockNumber"",""params"":[]}"
80,Latest Block Details,eth_getBlockByNumber,"{""id"":80,""jsonrpc"":""2.0"",""method"":""eth_getBlockByNumber"",""params"":[""latest"",false]}"
